,m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
10,0.9881079527559056,0.000755668338229549,-6.9,1424553.298226299,5556.984212296276,0.0,1.0,0.9764285826771651,0.001460319307547195,0.0,7.125637769822557e-05,35,True,0.00011231590997628158,0.09798645767952789,0.0
12,0.96806390625,0.0078082695240725844,-6.849999999999998,921585.6116169532,2960.33154317672,0.0,1.0,0.9448888281250001,0.008948786270842772,0.0,0.007741101540991169,35,True,0.0001736138216386371,0.147883330340796,0.0
8,0.8957515624999999,0.012871518692361203,-6.799999999999998,671044.5378132032,2266.9817192532864,0.0,1.0,0.823412890625,0.017962506456935708,0.0,0.021042028903808796,35,True,0.00023843424837553595,0.1977749270162632,0.0
5,0.7105609016393443,0.022257158606005824,-6.75,523122.93037934427,1913.1158655300212,0.0,1.0,0.5648384426229508,0.025641700178892692,0.0,0.059941647684432886,35,True,0.00030585545138305344,0.24766097840348628,0.0
11,0.49912820312499995,0.02407675918274749,-6.700000000000002,417257.7224004688,1527.0302597334162,0.0,1.0,0.32274945312500003,0.02214521004071533,0.0,0.07362048997020881,35,True,0.00038345605464058455,0.2975412015186829,0.0
6,0.3249877952755905,0.01872773251332849,-6.65,336696.863631496,1127.0887420855763,0.0,1.0,0.1498085826771654,0.014210352593495039,0.0,0.04419151559907626,35,True,0.00047520490174543154,0.34741529900846285,0.0
7,0.2473065625,0.013993184785491617,-6.599999999999998,278335.78964671877,863.9372721927207,0.0,1.0,0.086028203125,0.00878913727483229,0.0,0.02486766726943359,35,True,0.000574845226347219,0.39728295842764094,0.0
9,0.16948703125,0.011425252105369585,-6.549999999999998,230154.81263718748,697.2072374901468,0.0,1.0,0.045304453125000005,0.005183913727870038,0.0,0.016578599363061528,35,True,0.0006951842464933442,0.44714385148155233,0.0
0,0.13329226562500002,0.008162221646547443,-6.5,192400.45192999998,643.5293501381741,0.0,1.0,0.026228124999999998,0.0028699269962756493,0.0,0.008461296924554437,35,True,0.0008315988782511381,0.4969976332311986,0.0
4,0.113685859375,0.0075264161861327925,-6.450000000000002,160600.6526342969,588.9330504299111,0.0,1.0,0.020118671875,0.0023238411894232597,0.0,0.007194197253167724,35,True,0.0009962599614357444,0.5468439412594783,0.0
3,0.0940121875,0.006413584070482924,-6.400000000000001,133897.642165625,595.7156310752041,0.0,1.0,0.0140621875,0.0016664680862822408,0.0,0.005223896101464844,35,True,0.0011949426249200684,0.5966823947967169,0.0
1,0.07871690476190475,0.005031693457824586,-6.3500000000000005,110484.88637626983,644.9738304873392,0.0,1.0,0.009360873015873015,0.0010087809837957026,0.0,0.0031645219205782326,35,True,0.0014481618730647046,0.6465125938036075,0.0
2,0.070985625,0.004878624376700063,-6.299999999999998,90698.03164945313,725.8660677070928,0.0,1.0,0.008061953125,0.0010333701247361787,0.0,0.0030229941683593753,35,True,0.001764095615860752,0.696334118009634,0.0
6,0.93187,0.018065826426908328,-6.8,892085.7899275,6292.846162952393,0.0,1.0,0.881108,0.027898578670256892,0.5,0.012726303100000003,40,True,0.0001793549474798867,0.17465583597343043,0.5
7,0.61226225,0.044450754265884955,-6.7,533584.3885664999,3363.85288649424,0.0,1.0,0.45192350000000003,0.048225648378023594,0.5,0.07705843722493755,40,True,0.0002998588478756803,0.27441679326554064,0.5
5,0.3084205,0.028002507144965542,-6.6,347742.34204375,2011.9469913524626,0.0,1.0,0.12570575,0.01814889872652269,0.5,0.03058254517975001,40,True,0.0004601107793191033,0.3741526766714625,0.5
0,0.15656799999999998,0.016252388645743975,-6.5,241568.006349,1320.603297790236,0.0,1.0,0.034815250000000006,0.006448173424406166,0.5,0.01030171137600001,40,True,0.000662339365291791,0.4738608638178456,0.5
3,0.09698575000000001,0.010411020048348547,-6.4,167713.75560750003,1528.7174812743413,0.0,1.0,0.01363375,0.0025259159721569193,0.5,0.004227514296937499,40,True,0.0009540064225527659,0.5735384597669748,0.5
2,0.07871631578947368,0.010179697107653235,-6.300000000000002,112962.2863618421,1816.9645019459902,0.0,1.0,0.010030263157894735,0.002563689594447307,0.5,0.0038340047864265925,40,True,0.0014164019262808312,0.6731822690614999,0.5
1,0.06540028571428572,0.008554216341926933,-6.199999999999999,70815.57718914287,1661.806362292556,0.0,1.0,0.006764571428571429,0.0014656353394959306,0.5,0.0024873740570612243,40,True,0.002259389901923026,0.7727887649846084,0.5
4,0.06231558823529412,0.008022679918967612,-6.1,47290.672126176476,1270.8850437324884,0.0,1.0,0.006007352941176471,0.0014692909581074767,0.5,0.0021241204040657433,40,True,0.003383331063113318,0.8723540557765477,0.5
8,0.049073928571428574,0.006121386512962637,-6.0,29847.69692714286,683.8158442778425,0.0,1.0,0.003419642857142857,0.000782995956077399,0.5,0.0010113923917091836,40,True,0.005360547595700739,0.9718738475285212,0.5
6,0.7221562499999999,0.044984068233450504,-6.7,619472.4065745,3676.4352082488804,0.0,1.0,0.60042925,0.05139310550436715,1.0,0.07891960058593761,40,True,0.00025828430500198207,0.25025169117766166,1.0
5,0.31345025,0.03415866547242986,-6.6,405843.8074445,2370.1875795670408,0.0,1.0,0.14375749999999998,0.024544323164090984,1.0,0.0455064407749375,40,True,0.00039424033843828046,0.3499815801972389,1.0
0,0.15606589743589744,0.021021408795849204,-6.5,274431.04329384613,1457.3257822253008,0.0,1.0,0.041148974358974355,0.010297839695852096,1.0,0.016792410016502297,40,True,0.0005830244205597416,0.4496831462458373,1.0
3,0.07433725,0.01207419662341812,-6.4,192022.612861,1164.3310973080957,0.0,1.0,0.0112115,0.0034978313711901622,1.0,0.0056854732624375005,40,True,0.0008332351987930698,0.5493534292943157,1.0
2,0.08433900000000001,0.008900807070868377,-6.3,135145.76182625,1269.8994266033058,0.0,1.0,0.010202250000000001,0.0022413638672863726,1.0,0.003089183078999999,40,True,0.0011839069005042408,0.648989162128409,1.0
1,0.05829684210526317,0.006678881944334188,-6.199999999999998,91799.78409710526,1662.2413693848712,0.0,1.0,0.005048947368421052,0.0010340966460272698,1.0,0.0016504255689750677,40,True,0.0017429234891310087,0.7485867389472869,1.0
